MSN,year,quantity
AVTCB,1961,15489.0
AVTXB,1961,15489.0
BDACB,1961,0.0
BDLCB,1961,0.0
BDTCB,1961,0.0
BFLCB,1961,0.0
BFTCB,1961,0.0
BMTCB,1961,0.0
BQICB,1961,0.0
BQTCB,1961,0.0
BYICB,1961,0.0
BYTCB,1961,0.0
CLACB,1961,0.0
CLCCB,1961,0.0
CLEIB,1961,0.0
CLICB,1961,0.0
CLKCB,1961,0.0
CLOCB,1961,0.0
CLRCB,1961,0.0
CLTCB,1961,0.0
CLTXB,1961,0.0
COICB,1961,0.0
DFACB,1961,5524.0
DFCCB,1961,328.0
DFEIB,1961,239.0
DFICB,1961,3595.0
DFRCB,1961,3.0
DFTCB,1961,9689.0
DFTXB,1961,9449.0
DKEIB,1961,239.0
DMTCB,1961,9689.0
ELEXB,1961,0.0
ELIMB,1961,0.0
ELISB,1961,0.0
ELNIB,1961,0.0
EMACB,1961,0.0
EMCCB,1961,0.0
EMICB,1961,0.0
EMLCB,1961,0.0
EMTCB,1961,0.0
EQICB,1961,0.0
EQTCB,1961,0.0
ESACB,1961,0.0
ESCCB,1961,1154.0
ESICB,1961,2181.0
ESRCB,1961,1966.0
ESTCB,1961,5302.0
ESTXB,1961,5302.0
EYICB,1961,0.0
EYTCB,1961,0.0
FFTCB,1961,113496.0
FNICB,1961,0.0
FOICB,1961,0.0
FSICB,1961,0.0
GDPRX,1961,0.0
GECCB,1961,0.0
GEEGB,1961,0.0
GEICB,1961,0.0
GERCB,1961,0.0
GETCB,1961,0.0
GETXB,1961,0.0
HLACB,1961,9.0
HLCCB,1961,212.0
HLICB,1961,185.0
HLRCB,1961,128.0
HLTCB,1961,534.0
HLTXB,1961,534.0
HYCCB,1961,0.0
HYEGB,1961,258.0
HYICB,1961,0.0
HYTCB,1961,258.0
HYTXB,1961,0.0
IQICB,1961,0.0
IQTCB,1961,0.0
IYICB,1961,0.0
IYTCB,1961,0.0
JFACB,1961,26540.0
JFTCB,1961,26540.0
JFTXB,1961,26540.0
KSCCB,1961,243.0
KSICB,1961,150.0
KSRCB,1961,0.0
KSTCB,1961,394.0
KSTXB,1961,394.0
LOACB,1961,0.0
LOCCB,1961,3077.0
LOICB,1961,5815.0
LORCB,1961,5241.0
LOTCB,1961,14132.0
LOTXB,1961,14132.0
LUACB,1961,114.0
LUICB,1961,108.0
LUTCB,1961,222.0
LUTXB,1961,222.0
MBICB,1961,0.0
MGACB,1961,17859.0
MGCCB,1961,287.0
MGICB,1961,482.0
MGTCB,1961,18628.0
MGTXB,1961,18628.0
MMTCB,1961,18628.0
MSICB,1961,0.0
NAICB,1961,0.0
NGACB,1961,0.0
NGCCB,1961,0.0
NGEIB,1961,0.0
NGICB,1961,0.0
NGRCB,1961,0.0
NGTCB,1961,0.0
NGTPB,1961,0.0
NGTXB,1961,0.0
NNTCB,1961,0.0
NUEGB,1961,0.0
NUETB,1961,0.0
OHICB,1961,0.0
OPICB,1961,2730.0
OPTCB,1961,2730.0
OPTXB,1961,2730.0
P1ICB,1961,5003.0
P1TCB,1961,20850.0
P1TXB,1961,20850.0
PAACB,1961,74032.0
PACCB,1961,1344.0
PAEIB,1961,19176.0
PAICB,1961,18813.0
PARCB,1961,131.0
PATCB,1961,113496.0
PATPB,1961,172.2
PATXB,1961,94320.0
PCCCB,1961,0.0
PCEIB,1961,0.0
PCICB,1961,621.0
PCTCB,1961,621.0
PCTXB,1961,621.0
PLICB,1961,0.0
PMTCB,1961,113496.0
PPICB,1961,0.0
PPTCB,1961,0.0
PQACB,1961,0.0
PQCCB,1961,0.0
PQICB,1961,0.0
PQRCB,1961,0.0
PQTCB,1961,0.0
PQTXB,1961,0.0
PYICB,1961,0.0
PYTCB,1961,0.0
RETCB,1961,258.0
RFACB,1961,8496.0
RFCCB,1961,274.0
RFEIB,1961,18937.0
RFICB,1961,9548.0
RFTCB,1961,37255.0
RFTXB,1961,18318.0
SFCCB,1961,0.0
SFEIB,1961,0.0
SFINB,1961,0.0
SFRCB,1961,0.0
SFTCB,1961,0.0
SGICB,1961,2730.0
SNICB,1961,0.0
SOCCB,1961,0.0
SOEGB,1961,0.0
SOICB,1961,0.0
SORCB,1961,0.0
SOTCB,1961,0.0
SOTXB,1961,0.0
TEACB,1961,74032.0
TEAPB,1961,112.3
TECCB,1961,5576.0
TECPB,1961,8.5
TEEIB,1961,19434.0
TEICB,1961,26809.0
TEIPB,1961,40.7
TERCB,1961,7337.0
TERPB,1961,11.1
TETCB,1961,113754.0
TETGR,1961,0.0
TETPB,1961,172.6
TETXB,1961,113754.0
TNACB,1961,74032.0
TNCCB,1961,2498.0
